	Hallucination	Intrinsic	Extrinsic	Both
reference_text : Gdynia, Poland follows the Central European Summer Time timezone.				
Generation : Gdynia, Poland is in the Central European Summit time zone. The time zone is the Central European Summit Time, and it is time zone for Central Europe.	yes	yes	no	no
Sent-level factuality probability: 0.7473284006118774				
				
input_triples : ['Super_Capers | starring | Danielle_Harris', 'Super_Capers | writer | Ray_Griggs_(director)', 'Super_Capers | runtime | 98.0']				
reference_text : Super Capers, a film written by Ray Griggs, is 98 minutes long. Danielle Harris was one of the stars of the movie.				
Generation : Danielle Horts starred in SuperCapers which was written by Ray Griggs and starred Danielle Hare. The film is 98 m long and has a film run by 98.0 m.	yes	no	yes	no
Sent-level factuality probability: 0.5853296518325806				
				
input_triples : ['Abraham_A._Ribicoff | spouse | Casey_Ribicoff', 'Abraham_A._Ribicoff | deathPlace | United_States', 'United_States | ethnicGroup | African_Americans']				
reference_text : In the United States, one of the national ethnic groups are the African Americans. The United States is where Abraham A. Ribicoff, who was married to Casey Ribicoff, died.				
Generation : Casey Ribicoff was the wife of Abraham A. Ribcoff, who died in the United States, where African Americans are an ethnic group. Abraham A Ribboff was married to Casey Rubicoff and was born in the U.S.	no			
Sent-level factuality probability: 0.9029831886291504				
				
input_triples : ['Aaron_Turner | genre | Post-metal', 'Aaron_Turner | associatedBand/associatedMusicalArtist | Twilight_(band)', 'Aaron_Turner | activeYearsStartYear | 1995']				
reference_text : Aaron Turner is a post metal musician who started performing in 1995 and played with the band, Twilight.				
Generation : Post-metal musician Aaron Turner began performing in 1995. He played with Twilight and is associated with the band Twilight.	no			
Sent-level factuality probability: 0.7407313585281372				
				
input_triples : ['Take_It_Off! | producer | The_Honeymoon_Killers_(American_band)']				
reference_text : Take It Off! was produced by the American band, the Honeymoon Killers.				
Generation : The Honeymoon Killers is the producer of the musical genre of the dish "Above It off!". It was produced by The House House House Millers, an American band.	yes	yes	yes	yes
Sent-level factuality probability: 0.09537355601787567				
				
input_triples : ['Bedford_Aerodrome | cityServed | Bedford_Autodrome']				
reference_text : Bedford Aerodrome has served the Bedford Autodrome.				
Generation : The city of Aberdeen is served by the city of Bedford inerodrome.	yes	yes	no	no
Sent-level factuality probability: 0.15912623703479767				
				
input_triples : ['Abraham_A._Ribicoff | spouse | Ruth Ribicoff', 'Abraham_A._Ribicoff | inOfficeWhilePresident | John_F._Kennedy', 'Abraham_A._Ribicoff | nationality | American', 'Abraham_A._Ribicoff | successor | John_N._Dempsey', 'Abraham_A._Ribicoff | birthPlace | Connecticut']				
reference_text : Abraham A. Ribicoff’s spouse was Ruth Ribicoff and his successor was John N. Dempsey. Abraham was in office during the John F. Kennedy presidency. Abraham A. Ribicoff was American and was born in Connecticut.				
Generation : Abraham A. Ribicoff was born in Connecticut and is American. He was in office while John F. Kennedy was President. Abraham was succeeded by John N Dempsey and was married to Ruth Ribcoff.	no			
Sent-level factuality probability: 0.9801439046859741				
				
input_triples : ['Darinka_Dentcheva | influencedBy | Andrzej_Piotr_Ruszczyński', 'Darinka_Dentcheva | citizenship | United_States', 'Darinka_Dentcheva | birthDate | 1958-01-01', 'Darinka_Dentcheva | professionalField | Mathematical_optimization', 'Darinka_Dentcheva | knownFor | Stochastic_programming']				
reference_text : Darinka Dentcheva, born January 1, 1958, is a US citizen and is known for stochastic programming. She is a professional in the field of mathematical optimization and was influenced by Andrzej Piotr Ruszczyński.				
Generation : Stochastic program player, Darinka Dentcheva, was born on January 1, 1958, in the United States. He was influenced by Andrzej Piotr Ruszczyski. His professional discipline is Mathematical.	yes	yes	yes	yes
Sent-level factuality probability: 0.9333316683769226				
				
input_triples : ['Death_on_a_Factory_Farm | broadcastedBy | HBO']				
reference_text : Death on a Factory Farm is a film broadcasted by HBO.				
Generation : Death on the Factory Farm, broadcasted by HBO, was shown on the TV series "The Death on A Factory Farm". Death on a Falcony Farm was broadcast by HBO.	yes	no	yes	no
Sent-level factuality probability: 0.5576031804084778				
				
input_triples : ['Adolfo_Suárez_Madrid–Barajas_Airport | operatingOrganisation | ENAIRE', 'Adolfo_Suárez_Madrid–Barajas_Airport | location | Alcobendas', 'Adolfo_Suárez_Madrid–Barajas_Airport | runwayLength | 4349.0', 'Adolfo_Suárez_Madrid–Barajas_Airport | runwayName | 14R/32L', 'ENAIRE | city | Madrid', 'Adolfo_Suárez_Madrid–Barajas_Airport | elevationAboveTheSeaLevel | 610.0']				
reference_text : Adolfo Suárez Madrid–Barajas Airport is in Alcobendas and is operated by ENAIRE in which is in Madrid. The runway length of Adolfo Suárez Madrid–Barajas Airport is 4,349 and is named 14R/32L, Adolfo Suárez Madrid-Barajas Airport also has an elevation of 610.0 metres above sea level and a runway length of 4,349.				
Generation : Adolfo Suárez Madrid–Barajas Airport in Alcobendas is operated by ENAIRE which is located in Madrid. The airport is 610 metres above sea level and has a runway length of 4349. The runway name is 14R/32L.	no			
Sent-level factuality probability: 0.9778538942337036				
				
input_triples : ['Turn_Me_On_(album) | runtime | 35.1', 'Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)', 'Turn_Me_On_(album) | genre | Punk_blues', 'Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)', 'Turn_Me_On_(album) | genre | Noise_rock', 'Turn_Me_On_(album) | producer | Wharton_Tiers']				
reference_text : In the genre of punk blues, the Honeymoon Killers' "Turn Me On" is a 35 minutes 10 seconds example of noise rock produced by Wharton Tiers for this American band. The band also participated in the production.				
Generation : The musical genre of turn me on is funk rock and it was produced by Wharton Holdings and The House House Houses. It is also where the 35.1 run time is performed.	yes	no	yes	no
Sent-level factuality probability: 0.41750773787498474				
				
input_triples : ['Liselotte_Grschebina | birthPlace | German_Empire', 'Liselotte_Grschebina | professionalField | Photographer']				
reference_text : Liselotte Grschebina was a photographer who was born in the German Empire.				
Generation : Liselotte Gorschebina was born in the German Empire and is a photographer. He was a professional photographer in the field of the German empire.	yes	yes	no	no
Sent-level factuality probability: 0.6129747033119202				
				
input_triples : ['Let_It_Breed | followedBy | Turn_Me_On_(album)']				
reference_text : "Let It Breed" was followed by the album "Turn Me On".				
Generation : The musical genre of Let It Freed was preceded by the musical genre "Turk Me On", which was followed by "The Honeymoon Killers".	yes	yes	yes	yes
Sent-level factuality probability: 0.061492983251810074				
				
input_triples : ['Super_Capers | distributor | Lionsgate', 'Super_Capers | director | Ray_Griggs_(director)', 'Super_Capers | runtime | 98.0', 'Super_Capers | starring | Tom_Lister,_Jr.', 'Super_Capers | gross | 30955.0']				
reference_text : The box office $30,955.00 film, Super Capers, with a running time of 98 minutes, starring Tom Lister Jr., was distributed by Lionsgate and directed by Ray Griggs.				
Generation : The director of SuperCapers is Ray Griggs and starred Tom Lister Jr. Super Capers, which is distributed by Lionsgate and has a total of 30955.0. The film is run by 98.0 in length and starring Tom Coler, Jr.	yes	yes	yes	yes
Sent-level factuality probability: 0.848961353302002				
				
input_triples : ['Bananaman | starring | Bill_Oddie', 'Bananaman | broadcastedBy | BBC', 'BBC | city | London']				
reference_text : Bananaman starring Bill Oddie is broadcast by the BBC, which is located in London.				
Generation : Bill Oddie starred in Bananaman which was broadcast by the BBC which is located in London. The TV series was shown on the series which stars in London and starred BBC.	yes	yes	no	no
Sent-level factuality probability: 0.6997784376144409				
				
input_triples : ['Bananaman | starring | Bill_Oddie', 'Bananaman | broadcastedBy | BBC', 'BBC | city | London']				
reference_text : Bananaman the TV series starring Bill Oddie was shown on the BBC and BBC is located in London.				
Generation : Bill Oddie starred in Bananaman which was broadcast by the BBC which is located in London. The TV series was shown on the series which stars in London and starred BBC.	yes	yes	no	no
Sent-level factuality probability: 0.9617772102355957				
				
input_triples : ['Nie_Haisheng | mission | Shenzhou_6', 'Shenzhou_6 | cosparId | 2005-040A']				
reference_text : Nie Haisheng took part in the Shenzhou 6 mission which had a COSPAR ID of 2005-040A.				
Generation : Nie Haisheng was a member of the Shenzhou 6 crew, which was part of the cospartial date of 2004-040A. He also served as a crew member on the Apollo 6 mission.	yes	yes	yes	yes
Sent-level factuality probability: 0.5718912482261658				
				
input_triples : ['Noise_rock | stylisticOrigin | Noise_music']				
reference_text : The stylistic origins of noise rock are from noise music.				
Generation : The stylistic origin of funk rock is funk music. It is a form of acoustic rock and has its origins in funk.	yes	no	yes	no
Sent-level factuality probability: 0.43405118584632874				
				
input_triples : ['Bionico | course | Dessert', 'Dessert | dishVariation | Cookie', 'Bionico | country | Mexico']				
reference_text : Bionico is a dessert, which is found in Mexico. Cookie is also a type of dessert.				
Generation : Bionico is a food found in Mexico. It is served as a dessert course, as is cookies.	no			
Sent-level factuality probability: 0.6421607732772827				
				
input_triples : ['Olga_Bondareva | knownFor | Bondareva–Shapley_theorem', 'Olga_Bondareva | almaMater | Leningrad_State_University']				
reference_text : Olga Bondareva, whose alma mater is Leningrad State University, is known for the Bondareva-Shapley theorem.				
Generation : Olga Bandareva, whose alma mater was Leningrad State University, was known for the Bondareva-Shapley Theorem. He was also known as a member of the Marriedried State University and was a student of the Grammatiker.	yes	yes	yes	yes
Sent-level factuality probability: 0.48773831129074097				
				
input_triples : ['Nurhan_Atasoy | birthPlace | Reşadiye', 'Reşadiye | isPartOf | Tokat_Province', 'Turkey | areaTotal | 783356.0', 'Nurhan_Atasoy | birthPlace | Turkey']				
reference_text : Nurhan Atasoy was born in Resadiye, a town located in the Tokat Province in Turkey. Turkey has a total area of 783,356.0 km^2.				
Generation : Nurhan Atasoy was born in Reşadiye, which is part of the Tokat Province in Turkey. The total area of Turkey is 783356.0.	no			
Sent-level factuality probability: 0.9592640995979309				
				
input_triples : ['GMA_New_Media | keyPerson | Felipe_Gozon', 'GMA_New_Media | industry | Entertainment', 'GMA_New_Media | subsidiary | Philippine_Entertainment_Portal', 'GMA_New_Media | subsidiary | Digify,_Inc.', 'GMA_New_Media | parentCompany | GMA_Network_(company)']				
reference_text : GMA New Media, Inc. is a subsidiary of GMA Network. GMA New Media offers applications in the Entertainment Industry. Felipe Gozon is the key person in GMA New Media. Both Philippine Entertainment Portal, Inc. and Digify Inc. are subsidiaries of the company.				
Generation : Felipe Gozon is a key person in GMA New Media, a company in the entertainment industry. The company's parent company is GMA Network and Philippine Entertainment Portal and Digify Inc.	no			
Sent-level factuality probability: 0.9734870195388794				
				
input_triples : ['Mermaid_(Train_song) | genre | Pop_rock', 'Mermaid_(Train_song) | recordLabel | Columbia_Records', 'Mermaid_(Train_song) | runtime | 3.16', 'Mermaid_(Train_song) | recordLabel | Sony_Music_Entertainment']				
reference_text : Mermaid, a pop rock song by Train with a length of 3 minutes and 16 seconds, was released by Sony Music Entertainment under their Columbia Records label.				
Generation : Mermaid (Trainsong) is a pop rock musician signed to Sony Music Entertainment and has a recording label with the record label, Sony Music Records and the American label, Columbian Records and a 3.16 kilometer long run.	yes	yes	yes	yes
Sent-level factuality probability: 0.43981242179870605				
				
input_triples : ['United_States | demonym | American']				
reference_text : People from the United States are called Americans.				
Generation : American is the name given to people from the United States where the inhabitants are known as Americans. The country is the location of the people called Americans and the people that live there are called Americans.	no			
Sent-level factuality probability: 0.7408115863800049				
				
input_triples : ['Abraham_A._Ribicoff | spouse | Ruth Ribicoff', 'Abraham_A._Ribicoff | inOfficeWhilePresident | John_F._Kennedy', 'Abraham_A._Ribicoff | nationality | American', 'Abraham_A._Ribicoff | deathPlace | United_States', 'Abraham_A._Ribicoff | birthPlace | Connecticut']				
reference_text : Abraham A. Ribicoff was in office during the John F. Kennedy presidency and was married to Ruth Ribicoff. Abraham A. Ribicoff was American and his place of birth was Connecticut. He also died in the USA.				
Generation : American Abraham A. Ribicoff was born in Connecticut and died in the United States. He was in office while John F. Kennedy was President. Abraham was married to Ruth Ribcoff and was a member of the U.S.A.	yes	yes	no	no
Sent-level factuality probability: 0.9808845520019531				
				
input_triples : ['Ciudad_Ayala | timeZone | Pacific_Standard_Time_Zone']				
reference_text : The timezone of Ciudad Ayala is the Pacific Standard Time Zone.				
Generation : The time zone for the city of Ciudad Ayala is the Pacific Standard Time Zone. The city is located within the Pacific City Zone and is the location of the city.	yes	yes	no	no
Sent-level factuality probability: 0.498759388923645				
				
input_triples : ['University_of_Burgundy | numberOfUndergraduateStudents | 16800', 'University_of_Burgundy | staff | 2900', 'University_of_Burgundy | numberOfStudents | 27400', 'University_of_Burgundy | numberOfDoctoralStudents | 1299']				
reference_text : The University of Burgundy has a staff of 2900 members. The number of students currently in attendance is 27400, including 16800 undergraduate students and 1299 doctoral students.				
Generation : The University of Turgundy has a staff of 2900 and a student population of 27400. There are 16800 undergraduate students and 1299 undergraduate students at the University of Turkey.	yes	yes	yes	yes
Sent-level factuality probability: 0.8907315135002136				
				
input_triples : ['Expect_a_Miracle | artist | Brian_Kelly_(composer_&_pianist)', 'Expect_a_Miracle | type | Compilation_Album', 'Expect_a_Miracle | runtime | 54.56', 'Expect_a_Miracle | precededBy | Pools_of_Light_(Brian_Kelly_album)']				
reference_text : Expect a Miracle, a compilation album with runtime of 54.56 minutes was created by composer & pianist Artist Brian Kelly. This album was preceded by the album Pools of Light.				
Generation : The artist Brian Kelly is the artist of the Compilation Album, which was preceded by the musical genre of "Poscare & B.56" and the sequel to the "Waters of Light" is "Above the Magistrates" and it is 54.56 in length.	yes	yes	yes	yes
Sent-level factuality probability: 0.3511785566806793				
				
input_triples : ['Brandon_Carter | professionalField | General_relativity', 'Brandon_Carter | knownFor | Carter_constant', 'Brandon_Carter | knownFor | No-hair_theorem', 'Brandon_Carter | doctoralAdvisor | Dennis_William_Sciama', 'Brandon_Carter | birthDate | 1942-01-01']				
reference_text : Brandon Carter (born on born on 01-01-1942) is a professional in the field of general relativity, known for for the Carter constant and the No-hair theorem. Dennis William Sciama was his doctoral advisor.				
Generation : Brandon Carter was born on the 01-01-1942. He is a General Relativity professional who was a member of the doctoral advisor for Dennis Williamsciama. He was known as a doctoral student for No-hair theorem and is known for the comic book team.	yes	yes	yes	yes
Sent-level factuality probability: 0.741534411907196				
				
input_triples : ['Ciudad_Ayala | type | City', 'Ciudad_Ayala | leaderTitle | Governator', 'Ciudad_Ayala | isPartOf | Morelos', 'Ciudad_Ayala | country | Mexico', 'Ciudad_Ayala | elevationAboveTheSeaLevel | 1147.0', 'Ciudad_Ayala | timeZone | Pacific_Daylight_Time', 'Ciudad_Ayala | populationDensity | 1604.0']				
reference_text : Ciudad Ayala is a city and a part of Morelos located in Mexico. This city has a population density of 1604.0, with an elevation of 1147.0 above sea level. The city is in PDT time zone. The leader in Ciudad Ayala is called the governator.				
Generation : Governed by the Governor, Ciudad Ayala is located in the city of morelos, Mexico. The city is located at 1147.0 above sea level and has a population density of 1604.0.	no			
Sent-level factuality probability: 0.9090616703033447				
				
input_triples : ['University_of_Burgundy | numberOfUndergraduateStudents | 16800', 'University_of_Burgundy | staff | 2900', 'University_of_Burgundy | numberOfStudents | 27400', 'University_of_Burgundy | numberOfDoctoralStudents | 1299', 'University_of_Burgundy | campus | Dijon', 'University_of_Burgundy | city | Dijon']				
reference_text : The University of Burgundy which is located in the city of Dijon has 27400 students, of which 16800 are undergraduates and 1299 are doctoral students. It has 2900 staff members.				
Generation : The University of Turgundy is located in Dijon, Dijon. It has a staff of 2900 and a student population of 27400. There are 16800 Undergraduate students at the University of Turkey.	yes	no	yes	no
Sent-level factuality probability: 0.8730767369270325				
				
input_triples : ['Al_Asad_Airbase | operatingOrganisation | United_States_Air_Force', 'Al_Asad_Airbase | runwayName | 09L/27R']				
reference_text : Al Asad airbase operated by United States Air Force has the runway named as "09L/27R".				
Generation : The United States Air Force is the operating organisation for Al Asad airbase which has the runway name 09L/27R. The airbase is operated by the US Air Force and has a runway length of 09L and 27R.	yes	yes	yes	yes
Sent-level factuality probability: 0.990403950214386				
				
input_triples : ['India | demonym | Indian']				
reference_text : The demonym for a person from India is Indian.				
Generation : Indian is the name given to people from India, where Indian is a demonym for people who live there. India is also the location of the dish known as India.	yes	no	yes	no
Sent-level factuality probability: 0.5036462545394897				
				
input_triples : ['Ciudad_Ayala | populationMetro | 1777539']				
reference_text : The population of the metropolitan area of Ciudad Ayala is 1,777,539.				
Generation : The population of Ciudad Ayala is 1777539.	no			
Sent-level factuality probability: 0.4257282316684723				
				
input_triples : ['Abraham_A._Ribicoff | spouse | Casey_Ribicoff', 'Abraham_A._Ribicoff | office | United States Secretary of Health, Education, and Welfare']				
reference_text : Casey Ribicoff is the wife of Abraham A. Ribicoff, the US secretary of Health, Education, and Welfare.				
Generation : Casey Ribicoff was the wife of Abraham A. Ribcoff, who worked as the United States Secretary of Health, Education, and Welfare office. He was married to Casey Rubicoff and was the spouse of Casey.	yes	yes	no	no
Sent-level factuality probability: 0.7099577188491821				
				
input_triples : ['Aleksandr_Prudnikov | club | FC_Amkar_Perm', 'Aleksandr_Prudnikov | height | 185.0 (centimetres)', 'Aleksandr_Prudnikov | birthDate | 1989-02-24', 'FC_Amkar_Perm | manager | Gadzhi_Gadzhiyev']				
reference_text : Aleksandr Prudnikov was born on February 24th, 1989 and stands at a height of 185.0. He plays for the FC Amkar Perm Football Club, managed by Gadzhi Gadzhiyev.				
Generation : Aleksandr Prudnikov was born on 24th February 1989 and is 185 cm tall. He plays for FC Amkar Perm which is managed by Gadzhi Gadshiyev.	no			
Sent-level factuality probability: 0.9436631202697754				
				
input_triples : ['Mexico | currency | Mexican_peso', 'Mexico | demonym | Mexicans', 'Bionico | course | Dessert', 'Bionico | region | Guadalajara', 'Bionico | ingredient | Granola', 'Dessert | dishVariation | Sandesh_(confectionery)', 'Bionico | country | Mexico']				
reference_text : The people in Mexico are called Mexicans and the currency is the peso. Bionico is a dessert food found in Mexico in the Guadalajara area. This dish requires granola as one of its ingredients. Another types of dessert is Sandesh.				
Generation : Sandesh is a nice confectionery dessert, Bionico, a food found in Guadalajara, Mexico. The currency in Mexico is the Mexican peso and the inhabitants are known as Mexicans.	yes	yes	no	no
Sent-level factuality probability: 0.934942364692688				
				
input_triples : ['Turn_Me_On_(album) | runtime | 35.1', 'Turn_Me_On_(album) | precededBy | Let_It_Breed', 'Let_It_Breed | precededBy | Love_American_Style_(album)']				
reference_text : Following the albums, Let it Breed and Love American Style, Turn me on was released at a length of 35 minutes and 10 seconds.				
Generation : The musical genre of turn me on on the record label is "Lossociation 35.1" and it was preceded by Let It Freed and the love American style. It is also the sequel to the musical style of the Honeymoon Killers and has a runtime of 35.1.	yes	yes	yes	yes
Sent-level factuality probability: 0.328641802072525				
				
input_triples : ['Nurhan_Atasoy | residence | Istanbul', 'Nurhan_Atasoy | citizenship | Turkey', 'Nurhan_Atasoy | nationality | Turkish_people', 'Nurhan_Atasoy | residence | Turkey', 'Nurhan_Atasoy | award | State_Award_for_Superior_Achievement']				
reference_text : Nurhan Atasoy, of Turkish citizenship and nationality, resides in Istanbul, Turkey. Nurhan won the State Award for Superior Achievement.				
Generation : Turkish national, Nurhan Atasoy, resides in Istanbul, Turkey. He was awarded the State Award for Superior Award, and lives in Istanbul. Turkey.	yes	yes	yes	yes
Sent-level factuality probability: 0.9684025645256042				
				
input_triples : ['Nord_(Year_of_No_Light_album) | releaseDate | 2006-09-06', 'Nord_(Year_of_No_Light_album) | followedBy | Live_at_Roadburn_2008_(Year_of_No_Light_album)', 'Nord_(Year_of_No_Light_album) | artist | Year_of_No_Light']				
reference_text : Nord is an album by Year of No Light that was released on June 9th, 2006. The band followed Nord with the album Live at Roadburn 2008.				
Generation : The Year of No Light is the artist of the Year of no light and the year of New Light are the artists of the musical genre of the North which was released on the 6th of September, 2006. It was preceded by Live at Rotadburn 2008, and was followed by the musical book Live at No Light.	yes	yes	yes	yes
Sent-level factuality probability: 0.11745276302099228				
				
input_triples : ['Acharya_Institute_of_Technology | campus | In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.', 'All_India_Council_for_Technical_Education | location | Mumbai', 'Acharya_Institute_of_Technology | director | Dr. G. P. Prabhukumar', 'Acharya_Institute_of_Technology | affiliation | Visvesvaraya_Technological_University', 'Visvesvaraya_Technological_University | city | Belgaum', 'Acharya_Institute_of_Technology | wasGivenTheTechnicalCampusStatusBy | All_India_Council_for_Technical_Education']				
reference_text : The campus of the Acharya Institute of Technology, directed by Dr.G. Prabhukumar and affiliated with the Belgaum-located Visvesvaraya Technological University, may be found at at Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090, India. It was given 'Technical Campus' status by the All India Council for Technical Education of Mumbai.				
Generation : The Acharya Institute of Technology's campus is located in Soldevanahalli, India Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. The Institute was given the 'Technical Campus' status by the All India Council for Technical Education in Mumbai and is affiliated with the Visvesvaraya Technological University in Belgaum.	no			
Sent-level factuality probability: 0.9891217947006226				
				
input_triples : ['Alan_Shepard | birthDate | 1923-11-18', 'Alan_Shepard | nationality | United_States', 'Alan_Shepard | servedAsChiefOfTheAstronautOfficeIn | 1963', 'Alan_Shepard | deathPlace | California', 'Alan_Shepard | birthPlace | New_Hampshire', 'Alan_Shepard | mission | Apollo_14', 'Alan_Shepard | award | Distinguished_Service_Medal_(United_States_Navy)']				
reference_text : American Alan Shepard, who was the Chief of the Astronaut Office in 1963, and a member of the Apollo 14 crew, was awarded the Distinguished Service Medal in the United States Navy. He was born in New Hampshire on Nov 18, 1923 and died in California.				
Generation : American Alan Shepard was born in New Hampshire on November 18, 1923. He served as Chief of the Astronaut Office in 1963 and was awarded the Distinguished Service Medal by the US Navy. He died in California.	no			
Sent-level factuality probability: 0.9904106855392456				
				
input_triples : ['Turn_Me_On_(album) | runtime | 35.1', 'Turn_Me_On_(album) | artist | The_Honeymoon_Killers_(American_band)', 'Turn_Me_On_(album) | producer | The_Honeymoon_Killers_(American_band)']				
reference_text : The album Turn Me On (produced by American band the Honeymoon Killers) is 35 minutes 10 seconds long.				
Generation : The musical genre of turn me on on the record label is the American band The Honeymoon Killers. It is produced by The House House House Millers and has a 35.1 runtime.	yes	yes	yes	yes
Sent-level factuality probability: 0.29040253162384033				
				
input_triples : ['McVeagh_of_the_South_Seas | director | Harry_Carey_(actor_born_1878)', 'McVeagh_of_the_South_Seas | distributor | Alliance_Films_Corporation', 'McVeagh_of_the_South_Seas | director | Gregory_Allen', 'McVeagh_of_the_South_Seas | imdbId | 0004319']				
reference_text : "McVeagh of the South Seas" is distributed by Alliance Films Corporation and has the IMDb id of 0004319. It’s directed by Harry Carey and Gregory Allen. Carey was born in 1878.				
Generation : Gregory Allen is the director of McVeagh of the South Seas which has the Imdbid of 0004319. It is distributed by the Alliance Films Corporation and its director is Harry Carey (actor born 1878).	no			
Sent-level factuality probability: 0.900896430015564				
				
input_triples : ['Death_on_a_Factory_Farm | director | Sarah_Teale', 'Death_on_a_Factory_Farm | runtime | 83.0']				
reference_text : Sarah Teale directed the movie Death on a Factory Farm which has a duration of 83 minutes.				
Generation : The director of Death on a Factory Farm is Susan Teale and it is 83.0 in length. Death on the Factory Farm, run by 83 and run by the director of death on the 5th of July, 2016.	yes	yes	yes	yes
Sent-level factuality probability: 0.4501945376396179				
				
input_triples : ['BBC | city | Broadcasting_House', 'Bananaman | starring | Bill_Oddie', 'Bananaman | creator | Steve_Bright', 'BBC | foundedBy | John_Reith,_1st_Baron_Reith', 'Bananaman | broadcastedBy | BBC']				
reference_text : Bananaman starring Bill Oddie and created by Steve Bright was broadcasted by BBC. BBC was founded by 1st Baron, John Reith and has its home at Broadcasting House.				
Generation : Bill Oddie starred in Bananaman which was broadcast by the BBC which is located in Broadcasting House. It was created by Steve Bright and starred John Reith, 1st Baron Reid.	yes	yes	no	no
Sent-level factuality probability: 0.9585554003715515				
				
input_triples : ['Anatole_de_Grunwald | birthDate | 1910-12-25', 'English_Without_Tears | writer | Anatole_de_Grunwald', 'English_Without_Tears | writer | Terence_Rattigan']				
reference_text : Anatole de Grunwald, born December 25, 1910, and Terence Rattigan wrote English Without Tears.				
Generation : Anatole de Grunwald was born on the 25th of December, 1910 and is the author of English Out days. The film was written by Terence Batan and the writer of the film, Anato Le de Gaswald, who was born December 25, 1910.	yes	no	yes	no
Sent-level factuality probability: 0.4603129029273987				
				
input_triples : ['Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C', 'Agremiação_Sportiva_Arapiraquense | season | 2015_Campeonato_Brasileiro_Série_C']				
reference_text : Agremiação Sportiva Arapiraquense from Campeonato Brasileiro Série C league competed in the 2015 Campeonato Brasileiro Série C.				
Generation : Agremiaço Sportiva Arapiraquense play in the Campeonato Brasileiro Série C league and competed in the 2015 season. They play in Serie C in 2015.	yes	no	yes	no
Sent-level factuality probability: 0.805535078048706				
				
input_triples : ['Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C', 'Agremiação_Sportiva_Arapiraquense | season | 2015_Campeonato_Brasileiro_Série_C']				
reference_text : Agremiação Sportiva Arapiraquense compete in the Campeonato Brasileiro Série C league that had a competition in 2015.				
Generation : Agremiaço Sportiva Arapiraquense play in the Campeonato Brasileiro Série C league and competed in the 2015 season. They play in Serie C in 2015.	yes	no	yes	no
Sent-level factuality probability: 0.8686385750770569				
				
input_triples : ['Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C', 'Agremiação_Sportiva_Arapiraquense | season | 2015_Campeonato_Brasileiro_Série_C']				
reference_text : Agremiação Sportiva Arapiraquense played in the Campeonato Brasileiro Série C league in 2015.				
Generation : Agremiaço Sportiva Arapiraquense play in the Campeonato Brasileiro Série C league and competed in the 2015 season. They play in Serie C in 2015.	yes	no	yes	no
Sent-level factuality probability: 0.7643173336982727				
				
input_triples : ['Super_Capers | starring | Adam_West']				
reference_text : Adam West had a main role in the movie Super Capers.				
